RMID	FirstName	LastName	Address	Latitude	Longitude	City	State	Zip	LandlinePhoneNumber	CellPhone	BirthDate	MaritalStatus	HirePrediction	HomePurchaseYear	HomeYearBuilt	HomeEstCurrentValue	HouseholdNetWorth	RoofMaterial	LastStormDamage	HomeSize
01470	Mary	Brown	926 Elm Drive	35.0710	-106.5561	Historic District	NM	87001	919-518-6061	919-592-9696	1969-03-17	Single	Likely	2014	1992	$419,077	$790,032	Unknown	2024-07-19	1947
01471	William	Smith	745 Cedar Lane	33.4040	-112.0269	Central Phoenix	AZ	85002	919-824-5235	919-269-6933	1978-10-11	Single	Less Likely	2019	1992	$475,497	$323,742	Unknown	2023-05-26	2713
01472	Michael	Taylor	832 Walnut Road	35.0587	-106.5145	University Area	NM	87002	919-891-9603	919-853-1690	1983-11-13	Married	Very Likely	2019	2008	$401,871	$715,910	Tile	2023-10-29	1971
01473	Susan	Wilson	378 Walnut Lane	35.0613	-106.5368	Nob Hill	NM	87002	919-562-1458	919-696-8520	1969-05-30	Widowed	Less Likely	2008	2001	$478,035	$787,004	Tile	2023-09-25	2168
01474	John	Wilson	722 Poplar Road	33.4282	-112.0366	Government District	AZ	85001	919-735-3689	919-938-6653	1964-09-08	Divorced	Less Likely	2018	2007	$445,050	$1,077,996	Metal	2024-04-05	2600
01475	David	Taylor	853 Maple Drive	33.4307	-112.0707	Roosevelt	AZ	85002	919-545-8478	919-152-7000	1963-02-01	Widowed	Unlikely	2008	1992	$513,608	$396,938	Unknown	2024-07-31	2082
01476	Jennifer	Miller	699 Birch Circle	33.4398	-112.0262	Central Business District	AZ	85001	919-184-3197	919-421-2365	1962-05-08	Married	Likely	2008	2014	$501,809	$341,958	Composition Shingle	2024-09-05	2720
01477	Elizabeth	Miller	816 Birch Drive	33.4792	-112.0545	Arts District	AZ	85003	919-343-7617	919-394-5458	1989-05-05	Married	Very Likely	2013	2013	$437,114	$320,691	Metal	2024-06-08	2654
01478	William	Smith	339 Spruce Drive	33.4711	-112.0704	Garfield	AZ	85002	919-637-2338	919-951-4734	1961-06-16	Married	Less Likely	2017	2016	$461,761	$519,581	Unknown	2024-09-25	2727
01479	Michael	Johnson	697 Spruce Way	37.1093	-113.4994	St. George	UT	84791	919-363-4520	919-636-1777	1974-04-16	Single	Unlikely	2017	2012	$469,115	$655,019	Metal	2024-06-14	2571
01480	Elizabeth	Wilson	217 Elm Way	37.1673	-113.4724	St. George	UT	84790	919-444-8103	919-429-4690	1977-06-05	Single	Possible	2011	2012	$480,529	$686,400	Composition Shingle	2023-10-17	2181
01481	Michael	Wilson	153 Walnut Road	33.4401	-112.0143	Historic District	AZ	85003	919-682-5104	919-587-1299	1977-05-29	Single	Likely	2015	2016	$374,117	$894,756	Composition Shingle	2023-08-25	2061
01482	Jennifer	Martinez	279 Cedar Lane	35.0742	-106.5291	Nob Hill	NM	87002	919-319-6103	919-242-4993	1978-03-20	Single	Likely	2018	1995	$353,961	$1,052,833	Tile	2023-07-09	2413
01483	Mary	Wilson	113 Maple Drive	37.1127	-113.4969	Sunset	UT	84791	919-796-2597	919-101-6793	1986-01-01	Widowed	Less Likely	2013	2000	$375,831	$1,066,485	Unknown	2024-07-05	2454
01484	William	Williams	187 Pine Avenue	37.1792	-113.4234	Downtown	UT	84790	919-835-5824	919-693-8538	1977-10-19	Divorced	Very Likely	2019	2013	$365,174	$1,151,853	Metal	2023-05-02	2319
01485	John	Williams	475 Elm Lane	37.1467	-113.4132	St. George	UT	84790	919-859-8606	919-350-1361	1979-10-19	Married	Possible	2013	2009	$413,143	$954,359	Composition Shingle	2023-06-13	2729
01486	John	Wilson	976 Spruce Court	35.0972	-106.5361	Downtown Albuquerque	NM	87001	919-460-4253	919-429-4570	1980-06-24	Widowed	Very Likely	2018	2019	$492,671	$372,846	Composition Shingle	2024-12-04	2048
01487	Michael	Smith	899 Poplar Street	37.1784	-113.4144	Historic District	UT	84790	919-186-5749	919-310-8058	1977-07-17	Divorced	Unlikely	2015	1992	$352,167	$1,072,628	Composition Shingle	2024-08-15	1837
01488	Susan	Brown	186 Oak Circle	37.1093	-113.4248	Historic District	UT	84790	919-298-5426	919-199-7146	1961-07-02	Married	Unlikely	2016	1996	$411,611	$549,836	Metal	2023-01-29	2783
01489	David	Miller	528 Poplar Road	35.0288	-106.5311	Old Town	NM	87001	919-256-5404	919-149-1644	1962-07-31	Single	Possible	2013	2008	$488,227	$701,710	Composition Shingle	2023-09-22	2779
01490	Susan	Williams	778 Pine Court	33.4862	-112.0798	Government District	AZ	85001	919-940-3687	919-170-4059	1965-03-24	Divorced	Very Likely	2013	2007	$508,210	$1,182,478	Unknown	2024-09-18	2461
01491	Robert	Johnson	868 Maple Circle	35.0329	-106.5955	University Area	NM	87002	919-481-5289	919-345-9573	1979-12-24	Married	Very Likely	2019	2011	$489,191	$385,830	Unknown	2023-07-13	2283
01492	Susan	Martinez	434 Pine Lane	37.1322	-113.4882	Sunset	UT	84791	919-693-9185	919-592-1396	1982-07-14	Married	Likely	2016	1990	$484,931	$770,847	Composition Shingle	2024-08-22	2254
01493	John	Wilson	581 Poplar Street	33.4681	-112.0033	Roosevelt	AZ	85002	919-593-8402	919-484-6752	1964-06-16	Widowed	Likely	2018	1990	$413,808	$822,489	Unknown	2023-12-18	1813
01494	Michael	Wilson	874 Pine Way	37.1359	-113.4429	Dixie Downs	UT	84791	919-579-9416	919-517-1489	1979-07-31	Divorced	Possible	2008	2006	$358,907	$1,139,021	Tile	2023-08-29	2668
01495	Jennifer	Miller	557 Oak Street	33.4079	-112.0520	Government District	AZ	85001	919-243-1221	919-554-9000	1979-07-31	Divorced	Very Likely	2019	2016	$446,014	$496,243	Metal	2024-07-18	2155
01496	Jennifer	Martinez	604 Maple Drive	37.1037	-113.4412	Dixie Downs	UT	84791	919-876-2053	919-305-6378	1960-12-22	Single	Likely	2009	1996	$513,646	$476,642	Metal	2024-01-25	1988
01497	John	Williams	174 Poplar Court	35.0763	-106.5290	Central Albuquerque	NM	87002	919-644-3704	919-275-5795	1981-06-09	Widowed	Possible	2011	2005	$458,092	$687,764	Unknown	2024-05-24	2797
01498	Michael	Miller	815 Elm Drive	33.4455	-112.0244	Central Business District	AZ	85001	919-964-1738	919-808-6692	1978-06-15	Widowed	Possible	2014	2008	$515,420	$1,005,996	Metal	2024-10-23	1900
01499	Elizabeth	Wilson	955 Maple Circle	35.0304	-106.5434	Nob Hill	NM	87002	919-756-3809	919-577-3442	1968-06-16	Divorced	Possible	2009	2011	$405,625	$1,041,681	Tile	2023-06-06	2527
01500	Patricia	Taylor	183 Elm Street	37.1592	-113.4791	Historic District	UT	84790	919-482-6411	919-506-2685	1960-04-22	Divorced	Possible	2018	1996	$423,085	$1,055,286	Tile	2024-02-04	2431
01501	John	Anderson	725 Pine Court	33.4602	-112.0596	Garfield	AZ	85002	919-324-7332	919-126-2046	1967-05-12	Single	Possible	2019	1994	$410,237	$592,806	Tile	2023-05-06	1983
01502	William	Miller	642 Birch Circle	33.4180	-112.0903	Central Business District	AZ	85001	919-189-1457	919-151-8296	1980-02-26	Single	Unlikely	2015	2019	$395,615	$964,127	Unknown	2024-01-20	2161
01503	Elizabeth	Smith	326 Oak Road	37.1043	-113.4771	Sunset	UT	84791	919-847-3617	919-286-3721	1990-08-01	Divorced	Likely	2019	2005	$442,591	$881,034	Tile	2023-10-25	2741
01504	John	Miller	384 Elm Lane	35.0018	-106.5832	Downtown Albuquerque	NM	87001	919-517-1567	919-450-9882	1960-12-29	Married	Very Likely	2011	1998	$423,115	$516,975	Metal	2023-05-07	2331
01505	Mary	Taylor	241 Walnut Lane	33.4153	-112.0278	Garfield	AZ	85002	919-436-1475	919-525-2803	1987-06-26	Single	Unlikely	2012	2002	$357,862	$719,952	Metal	2024-12-05	2688
01506	Mary	Martinez	352 Birch Road	33.4928	-112.0612	Central City	AZ	85003	919-345-4617	919-628-8036	1970-02-19	Married	Very Likely	2017	2008	$427,691	$862,589	Composition Shingle	2023-04-29	2548
01507	William	Taylor	105 Birch Street	33.4372	-112.0929	Central Business District	AZ	85001	919-727-9793	919-356-5969	1985-12-16	Married	Very Likely	2008	2015	$512,273	$981,249	Unknown	2024-05-24	2435
01508	John	Johnson	892 Elm Street	37.1701	-113.4500	Sunset	UT	84791	919-923-3184	919-228-7374	1965-08-16	Widowed	Less Likely	2009	2019	$420,715	$327,897	Tile	2024-09-27	2357
01509	William	Williams	771 Maple Street	37.1984	-113.4782	St. George	UT	84791	919-436-2197	919-320-4581	1963-09-17	Divorced	Unlikely	2016	2018	$471,768	$850,452	Unknown	2023-04-04	2059
01510	John	Brown	202 Oak Lane	37.1033	-113.4256	Dixie Downs	UT	84791	919-671-7275	919-282-9127	1976-04-03	Married	Unlikely	2018	1996	$352,971	$527,386	Unknown	2023-03-02	1860
01511	Mary	Taylor	462 Birch Way	33.4241	-112.0789	Garfield	AZ	85002	919-115-8939	919-415-7283	1962-10-05	Single	Very Likely	2019	1999	$485,107	$325,373	Composition Shingle	2024-01-28	2460
01512	Patricia	Taylor	114 Walnut Drive	35.0324	-106.5514	Downtown Albuquerque	NM	87001	919-160-7978	919-227-4118	1965-02-10	Widowed	Possible	2008	1991	$362,845	$918,128	Unknown	2024-03-24	2312
01513	William	Anderson	689 Maple Road	33.4375	-112.0467	Central Phoenix	AZ	85002	919-304-7933	919-388-3360	1978-10-05	Married	Possible	2018	2007	$379,437	$1,060,365	Tile	2024-06-27	1958
01514	Michael	Martinez	392 Walnut Court	35.0266	-106.5021	Nob Hill	NM	87002	919-258-6282	919-722-6852	1973-06-08	Divorced	Likely	2015	2004	$472,348	$604,818	Tile	2024-12-24	2141
01515	Robert	Brown	384 Poplar Lane	35.0636	-106.5159	University Area	NM	87002	919-448-3884	919-488-2734	1988-08-24	Single	Possible	2014	1991	$477,438	$445,591	Metal	2024-06-29	2092
01516	Robert	Davis	311 Birch Circle	35.0899	-106.5143	Historic District	NM	87001	919-707-4751	919-106-4981	1988-03-17	Widowed	Likely	2017	2018	$466,903	$1,127,747	Tile	2024-06-09	2640
01517	Michael	Williams	544 Poplar Avenue	33.4751	-112.0103	Roosevelt	AZ	85002	919-454-3339	919-762-2825	1964-04-12	Divorced	Possible	2012	2012	$392,568	$968,478	Tile	2023-04-17	2551
01518	Elizabeth	Smith	655 Spruce Street	33.4529	-112.0929	Central Phoenix	AZ	85002	919-711-5160	919-621-5523	1968-04-12	Widowed	Very Likely	2008	2000	$448,664	$993,147	Composition Shingle	2023-08-30	2401
01519	Elizabeth	Williams	489 Spruce Lane	35.0526	-106.5178	Nob Hill	NM	87002	919-525-3677	919-613-8723	1964-06-24	Divorced	Unlikely	2016	1992	$428,757	$761,102	Composition Shingle	2023-02-09	2483
01520	John	Taylor	261 Pine Street	33.4474	-112.0211	Government District	AZ	85001	919-812-3797	919-725-6582	1981-09-06	Married	Likely	2011	2006	$517,212	$779,369	Unknown	2023-09-03	2644
01521	Michael	Williams	289 Spruce Drive	33.4162	-112.0002	Government District	AZ	85001	919-859-2789	919-760-3350	1965-08-07	Married	Very Likely	2008	2019	$423,980	$503,958	Tile	2024-02-12	1949
01522	Mary	Wilson	970 Walnut Lane	33.4769	-112.0312	Central City	AZ	85003	919-931-3062	919-350-8905	1989-07-06	Married	Possible	2014	2019	$506,917	$536,136	Unknown	2023-04-29	2342
01523	Jennifer	Williams	105 Pine Drive	33.4927	-112.0614	Central Phoenix	AZ	85002	919-508-6037	919-438-1903	1984-06-08	Married	Unlikely	2020	1994	$393,954	$739,181	Metal	2023-06-23	2707
01524	Mary	Martinez	767 Poplar Way	33.4532	-112.0676	Arts District	AZ	85003	919-483-2259	919-979-8506	1989-10-05	Married	Likely	2017	2014	$394,812	$747,013	Composition Shingle	2023-05-09	2011
01525	Jennifer	Martinez	855 Oak Street	35.0344	-106.5833	Historic District	NM	87001	919-469-5231	919-486-6986	1960-09-22	Single	Less Likely	2014	2020	$505,585	$304,617	Unknown	2024-10-07	2348
01526	Jennifer	Smith	631 Oak Court	37.1163	-113.4587	Dixie Downs	UT	84791	919-936-1775	919-181-1273	1966-07-04	Married	Less Likely	2014	2007	$519,077	$432,686	Composition Shingle	2023-09-13	2460
01527	Patricia	Davis	431 Maple Drive	33.4673	-112.0010	Downtown Phoenix	AZ	85001	919-276-1643	919-267-6010	1961-06-21	Widowed	Possible	2018	2015	$516,033	$641,418	Unknown	2023-10-19	2353
01528	Susan	Anderson	323 Hickory Avenue	33.4099	-112.0240	Central City	AZ	85003	919-627-8642	919-844-7967	1966-08-04	Widowed	Possible	2012	2007	$359,639	$786,405	Composition Shingle	2024-11-03	1949
01529	Michael	Williams	650 Elm Circle	35.0203	-106.5209	Old Town	NM	87001	919-317-1779	919-735-3197	1979-05-14	Married	Possible	2010	2004	$454,055	$835,999	Unknown	2023-11-10	2651
01530	Jennifer	Wilson	987 Oak Lane	33.4904	-112.0283	Arts District	AZ	85003	919-768-4846	919-542-9038	1980-09-02	Widowed	Very Likely	2017	1999	$421,080	$723,220	Tile	2024-05-28	2250
01531	Patricia	Martinez	794 Maple Circle	33.4758	-112.0736	Downtown Phoenix	AZ	85001	919-883-3123	919-829-2009	1986-10-10	Married	Very Likely	2019	2001	$422,310	$1,065,389	Composition Shingle	2023-04-18	2585
01532	Robert	Wilson	411 Cedar Court	37.1841	-113.4512	Historic District	UT	84790	919-275-2642	919-962-6081	1962-08-22	Married	Very Likely	2018	2015	$402,431	$965,793	Unknown	2024-05-28	2052
01533	Michael	Davis	669 Birch Way	37.1829	-113.4588	Dixie Downs	UT	84791	919-965-9956	919-935-2428	1960-06-18	Widowed	Less Likely	2013	2011	$468,130	$1,186,022	Tile	2023-11-19	1930
01534	Jennifer	Anderson	161 Elm Street	33.4436	-112.0644	Central City	AZ	85003	919-838-9060	919-637-8792	1989-12-24	Widowed	Unlikely	2010	2006	$424,402	$975,105	Unknown	2023-10-31	2642
01535	Michael	Martinez	604 Walnut Road	33.4475	-112.0593	Government District	AZ	85001	919-592-8800	919-631-5933	1968-12-30	Married	Possible	2019	2010	$510,037	$579,321	Composition Shingle	2024-03-26	2550
01536	David	Davis	827 Spruce Way	37.1346	-113.4465	Sunset	UT	84791	919-787-1830	919-266-8534	1962-08-09	Single	Likely	2020	2002	$406,243	$951,548	Tile	2023-03-24	2142
01537	William	Martinez	310 Walnut Lane	37.1543	-113.4557	St. George	UT	84790	919-505-8030	919-624-2233	1990-04-16	Widowed	Very Likely	2017	2008	$436,122	$1,022,059	Composition Shingle	2024-08-01	2513
01538	Jennifer	Smith	233 Spruce Court	33.4276	-112.0694	Central Phoenix	AZ	85002	919-199-1882	919-608-1593	1964-01-24	Divorced	Less Likely	2015	2012	$372,689	$954,385	Composition Shingle	2024-01-18	1893
01539	Robert	Williams	101 Oak Road	35.0286	-106.5467	Central Albuquerque	NM	87002	919-509-3127	919-189-4684	1961-11-14	Widowed	Less Likely	2012	2016	$383,671	$911,940	Tile	2024-11-17	1842
01540	John	Davis	969 Poplar Way	33.4685	-112.0089	Central City	AZ	85003	919-252-8029	919-931-6942	1974-08-23	Married	Likely	2016	2003	$403,209	$426,350	Tile	2024-10-28	1911
01541	Patricia	Smith	726 Cedar Circle	33.4903	-112.0798	Central City	AZ	85003	919-832-9607	919-992-6298	1976-01-24	Divorced	Less Likely	2014	2000	$376,810	$1,175,084	Unknown	2023-07-10	2424
01542	Michael	Wilson	115 Pine Way	33.4467	-112.0110	Historic District	AZ	85003	919-689-8072	919-873-8609	1988-09-08	Married	Very Likely	2017	2000	$353,016	$425,819	Composition Shingle	2024-09-24	1998
01543	Jennifer	Brown	976 Birch Drive	37.1383	-113.4964	Downtown	UT	84790	919-500-2344	919-669-5469	1963-12-21	Widowed	Unlikely	2016	2009	$403,196	$783,098	Tile	2023-05-31	2271
01544	Susan	Smith	448 Oak Circle	37.1854	-113.4952	St. George	UT	84790	919-844-2791	919-969-2435	1972-05-11	Married	Very Likely	2018	2004	$504,642	$530,023	Unknown	2024-03-12	2666
01545	John	Brown	764 Spruce Lane	37.1172	-113.4080	Dixie Downs	UT	84791	919-229-2073	919-162-1989	1983-03-30	Married	Very Likely	2013	2002	$508,443	$807,057	Unknown	2023-12-31	2678
01546	Susan	Brown	790 Elm Avenue	37.1159	-113.4092	St. George	UT	84790	919-312-5949	919-894-2722	1968-08-18	Divorced	Very Likely	2015	2006	$473,593	$712,107	Unknown	2023-03-06	2609
01547	William	Johnson	401 Poplar Street	37.1867	-113.4671	St. George	UT	84790	919-966-2873	919-443-4396	1984-02-15	Married	Likely	2011	2003	$501,916	$480,985	Metal	2024-09-15	2774
01548	Michael	Wilson	491 Oak Lane	35.0136	-106.5704	Central Albuquerque	NM	87002	919-122-9631	919-364-3513	1960-01-15	Divorced	Very Likely	2013	1990	$459,496	$1,156,671	Metal	2023-05-02	2404
01549	William	Brown	878 Walnut Way	35.0779	-106.5242	Old Town	NM	87001	919-909-9577	919-387-7576	1971-04-02	Divorced	Likely	2019	2014	$486,952	$842,233	Composition Shingle	2023-04-02	2492
01550	Elizabeth	Brown	896 Elm Drive	33.4106	-112.0073	Government District	AZ	85001	919-159-3159	919-647-2200	1983-06-02	Divorced	Possible	2016	1992	$467,674	$1,152,218	Unknown	2023-08-04	2341
01551	Susan	Brown	843 Hickory Circle	33.4785	-112.0002	Central Business District	AZ	85001	919-704-2592	919-519-9249	1967-01-12	Widowed	Less Likely	2020	1991	$471,303	$544,869	Metal	2023-12-21	2351
01552	Jennifer	Brown	644 Walnut Road	35.0785	-106.5627	University Area	NM	87002	919-427-6786	919-264-1851	1968-06-03	Divorced	Less Likely	2013	2015	$358,175	$491,583	Unknown	2023-01-01	2788
01553	Patricia	Taylor	253 Walnut Way	33.4707	-112.0928	Government District	AZ	85001	919-547-1237	919-999-3707	1976-06-04	Married	Very Likely	2013	2009	$518,987	$702,196	Metal	2023-10-08	1826
01554	John	Davis	961 Elm Court	35.0477	-106.5981	Historic District	NM	87001	919-367-4105	919-273-4542	1960-04-09	Widowed	Less Likely	2008	2012	$405,234	$921,706	Composition Shingle	2023-06-13	2609
01555	Elizabeth	Martinez	274 Pine Circle	37.1207	-113.4678	Dixie Downs	UT	84791	919-429-4722	919-479-1483	1964-04-17	Single	Possible	2018	2008	$373,528	$1,086,221	Composition Shingle	2023-07-02	1921
01556	David	Brown	479 Elm Street	37.1440	-113.4917	Dixie Downs	UT	84791	919-888-5089	919-803-4701	1967-12-27	Single	Likely	2020	2009	$463,479	$461,507	Composition Shingle	2023-11-13	2160
01557	William	Martinez	963 Walnut Street	37.1739	-113.4782	Downtown	UT	84790	919-288-4194	919-995-6098	1984-08-04	Married	Less Likely	2016	1993	$408,995	$1,010,401	Composition Shingle	2023-05-16	2759
01558	Elizabeth	Brown	909 Cedar Drive	33.4073	-112.0614	Downtown Phoenix	AZ	85001	919-301-4797	919-340-2423	1974-04-01	Divorced	Very Likely	2012	2019	$483,507	$1,038,770	Metal	2024-11-20	2454
01559	Patricia	Williams	417 Maple Road	37.1871	-113.4789	Downtown	UT	84790	919-251-8261	919-622-3541	1990-08-17	Single	Unlikely	2018	1996	$433,757	$416,362	Tile	2023-09-06	2295
01560	Jennifer	Davis	384 Pine Road	37.1372	-113.4790	Downtown	UT	84790	919-747-9114	919-442-2649	1981-02-18	Divorced	Less Likely	2018	1999	$427,940	$337,602	Tile	2023-09-22	2632
01561	Mary	Brown	354 Maple Street	35.0608	-106.5507	Downtown Albuquerque	NM	87001	919-871-1634	919-475-5452	1985-12-28	Widowed	Less Likely	2008	1996	$501,938	$837,387	Tile	2024-07-16	2003
01562	David	Wilson	235 Walnut Drive	33.4864	-112.0288	Government District	AZ	85001	919-631-6675	919-351-6075	1983-06-02	Widowed	Unlikely	2016	2014	$438,065	$614,086	Unknown	2024-02-06	2601
01563	David	Johnson	676 Oak Street	35.0624	-106.5221	Nob Hill	NM	87002	919-899-7784	919-478-3260	1969-08-23	Widowed	Less Likely	2014	1994	$371,074	$387,988	Composition Shingle	2023-03-29	2181
01564	John	Johnson	918 Pine Drive	37.1310	-113.4385	Historic District	UT	84790	919-169-7821	919-182-5285	1990-10-11	Married	Very Likely	2011	1995	$366,674	$1,147,872	Composition Shingle	2023-07-23	1918
01565	Jennifer	Miller	123 Walnut Drive	37.1749	-113.4138	Historic District	UT	84790	919-913-3848	919-606-2743	1987-08-14	Widowed	Less Likely	2011	2000	$406,288	$933,900	Unknown	2023-11-18	2012
01566	Michael	Wilson	881 Maple Road	35.0851	-106.5491	Nob Hill	NM	87002	919-964-5239	919-225-6785	1970-07-04	Single	Unlikely	2015	2006	$501,411	$393,306	Composition Shingle	2023-06-07	2702
01567	Michael	Williams	352 Elm Lane	37.1854	-113.4703	St. George	UT	84790	919-358-2510	919-953-7098	1978-11-05	Divorced	Unlikely	2020	1996	$432,583	$349,963	Composition Shingle	2024-11-16	2227
01568	Susan	Smith	930 Walnut Drive	37.1506	-113.4437	Historic District	UT	84790	919-577-6770	919-941-6120	1986-09-02	Widowed	Likely	2011	2008	$357,354	$949,287	Composition Shingle	2024-04-08	2365
01569	David	Smith	967 Birch Circle	35.0173	-106.5450	Central Albuquerque	NM	87002	919-593-8105	919-908-9868	1976-08-10	Divorced	Unlikely	2009	2007	$469,742	$1,103,989	Tile	2023-02-03	2655
01570	David	Miller	231 Birch Circle	37.1796	-113.4280	Downtown	UT	84790	919-521-5536	919-604-1000	1964-04-12	Divorced	Possible	2016	2014	$456,939	$680,133	Composition Shingle	2023-12-27	2276
01571	Michael	Williams	517 Walnut Circle	33.4159	-112.0579	Central Business District	AZ	85001	919-559-8360	919-259-1216	1973-08-13	Single	Likely	2016	2016	$455,973	$414,011	Composition Shingle	2024-12-22	1816
01572	Patricia	Anderson	805 Cedar Way	33.4793	-112.0262	Historic District	AZ	85003	919-440-8449	919-133-1464	1987-10-16	Single	Less Likely	2018	2005	$405,993	$664,443	Tile	2024-02-10	2211
01573	Jennifer	Taylor	736 Elm Avenue	35.0507	-106.5384	Old Town	NM	87001	919-579-7534	919-117-9754	1987-11-29	Divorced	Likely	2018	1997	$379,134	$425,470	Metal	2023-03-12	2322
01574	Jennifer	Anderson	493 Cedar Court	37.1328	-113.4074	Downtown	UT	84790	919-977-7632	919-490-5952	1985-03-29	Divorced	Unlikely	2018	2005	$434,689	$489,334	Unknown	2023-07-27	2609
01575	Jennifer	Johnson	358 Maple Circle	35.0776	-106.5339	Downtown Albuquerque	NM	87001	919-817-6118	919-624-8438	1971-05-25	Married	Likely	2013	1991	$447,062	$1,077,186	Composition Shingle	2023-12-19	2471
01576	Michael	Taylor	907 Spruce Way	37.1258	-113.4317	Sunset	UT	84791	919-658-4054	919-270-1694	1964-02-03	Divorced	Unlikely	2009	2002	$359,262	$732,557	Tile	2024-04-13	2571
01577	David	Brown	889 Maple Road	37.1564	-113.4713	St. George	UT	84791	919-338-5029	919-852-5014	1977-05-17	Divorced	Likely	2009	2018	$383,640	$418,054	Composition Shingle	2023-03-02	2215
01578	William	Anderson	112 Pine Way	33.4012	-112.0515	Roosevelt	AZ	85002	919-366-3934	919-206-3557	1975-05-15	Divorced	Possible	2019	1998	$392,229	$348,900	Metal	2024-03-11	2463
01579	Michael	Davis	882 Birch Court	37.1933	-113.4355	Downtown	UT	84790	919-690-5776	919-811-6702	1976-11-09	Married	Possible	2018	2008	$366,436	$647,700	Metal	2024-06-21	2707
01580	David	Taylor	221 Hickory Way	33.4160	-112.0555	Roosevelt	AZ	85002	919-665-7269	919-685-1352	1973-07-11	Widowed	Likely	2018	1990	$369,187	$1,092,280	Composition Shingle	2023-11-09	2481
01581	Elizabeth	Williams	401 Maple Street	37.1834	-113.4274	Dixie Downs	UT	84791	919-729-7719	919-766-2820	1972-03-09	Single	Very Likely	2009	2006	$474,495	$1,065,849	Unknown	2024-03-27	1899
01582	Michael	Martinez	274 Pine Circle	33.4617	-112.0059	Central Business District	AZ	85001	919-729-5282	919-162-6524	1961-02-19	Single	Likely	2010	2005	$447,247	$553,380	Composition Shingle	2023-09-10	2252
01583	William	Anderson	739 Pine Circle	35.0027	-106.5115	University Area	NM	87002	919-252-4180	919-979-2251	1973-02-06	Widowed	Likely	2017	2005	$518,622	$803,207	Unknown	2024-08-03	2489
01584	Susan	Johnson	939 Pine Circle	35.0479	-106.5704	Downtown Albuquerque	NM	87001	919-935-2154	919-648-5005	1967-02-04	Divorced	Less Likely	2008	1997	$441,815	$748,459	Tile	2024-10-30	2077
01585	Patricia	Anderson	828 Pine Way	33.4061	-112.0456	Roosevelt	AZ	85002	919-561-7198	919-146-5825	1968-05-30	Married	Unlikely	2011	2008	$374,089	$981,972	Tile	2024-12-14	1918
01586	Jennifer	Johnson	210 Cedar Lane	33.4443	-112.0563	Central Phoenix	AZ	85002	919-918-4019	919-262-1661	1983-02-28	Divorced	Unlikely	2014	1993	$503,843	$977,545	Tile	2024-09-11	2784
01587	Robert	Wilson	476 Poplar Way	33.4891	-112.0386	Government District	AZ	85001	919-269-3432	919-906-3507	1960-01-26	Married	Less Likely	2015	1993	$488,663	$998,702	Metal	2024-01-06	1932
01588	Patricia	Wilson	751 Pine Avenue	37.1537	-113.4622	Dixie Downs	UT	84791	919-618-5482	919-534-7440	1968-01-06	Married	Unlikely	2018	2000	$376,253	$875,889	Tile	2023-12-13	1998
01589	William	Smith	422 Walnut Lane	33.4488	-112.0661	Downtown Phoenix	AZ	85001	919-842-8489	919-984-2466	1986-08-01	Married	Less Likely	2019	2013	$402,716	$593,582	Composition Shingle	2024-06-01	2715
01590	Susan	Martinez	737 Spruce Court	37.1642	-113.4433	St. George	UT	84790	919-337-3858	919-983-1852	1989-01-25	Divorced	Less Likely	2016	2004	$379,932	$643,199	Unknown	2024-12-24	2055
01591	Patricia	Johnson	586 Walnut Drive	37.1972	-113.4080	Historic District	UT	84790	919-704-6301	919-585-8720	1988-11-10	Single	Possible	2018	2017	$381,789	$836,306	Unknown	2024-08-29	2562
01592	Jennifer	Wilson	942 Birch Way	33.4404	-112.0059	Central Phoenix	AZ	85002	919-365-4714	919-950-3258	1970-02-17	Divorced	Unlikely	2016	2008	$446,197	$740,622	Metal	2023-04-10	2758
01593	William	Johnson	216 Pine Street	35.0179	-106.5162	Old Town	NM	87001	919-840-6636	919-941-9976	1977-05-01	Married	Possible	2014	2019	$491,748	$928,598	Metal	2023-09-13	1972
01594	Susan	Taylor	344 Walnut Street	35.0610	-106.5152	Historic District	NM	87001	919-955-4057	919-708-2790	1968-09-01	Single	Unlikely	2015	2007	$350,736	$337,679	Unknown	2024-07-18	2337
01595	Jennifer	Davis	214 Birch Street	33.4817	-112.0687	Central Phoenix	AZ	85002	919-964-7137	919-617-5142	1962-08-18	Widowed	Unlikely	2018	1999	$438,113	$823,444	Composition Shingle	2024-12-25	2177
01596	Robert	Taylor	127 Elm Court	37.1536	-113.4743	Sunset	UT	84791	919-446-2547	919-504-1463	1973-07-14	Single	Less Likely	2017	2019	$429,677	$872,118	Unknown	2023-06-26	2508
01597	Mary	Miller	951 Elm Street	35.0402	-106.5648	Central Albuquerque	NM	87002	919-359-9019	919-647-1015	1990-06-23	Widowed	Unlikely	2013	2019	$363,093	$703,746	Metal	2024-03-24	2633
01598	William	Taylor	857 Cedar Court	35.0602	-106.5513	Historic District	NM	87001	919-745-5989	919-667-3843	1975-04-04	Widowed	Possible	2016	2010	$419,340	$758,838	Unknown	2024-10-27	2403
01599	Jennifer	Williams	600 Pine Lane	33.4885	-112.0109	Central Business District	AZ	85001	919-294-6753	919-488-4647	1965-02-27	Widowed	Very Likely	2013	2008	$508,038	$597,010	Tile	2024-03-29	2152
